JamoSZN
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
73   | Chris Olave            | WR    | 18.70 | 16   |  1.16 | Drafted for $16      | JamoSZN                         
74   | Justin Tucker          | K     |  7.00 | 6    |  1.14 | Waivers; $6 bid      | G                               
75   | Devin Duvernay         | W/R/T |  1.20 | 1    |  1.10 | Drafted for $1       | Nags                            
76   | Amari Cooper           | WR    | 27.30 | 25   |  1.09 | Drafted for $25      | Mangina’s Revenge               
77   | Deebo Samuel           | WR    | 18.90 | 18   |  1.05 | Kept for $18         | Aiyuken                         
78   | Jahan Dotson           | BN    |  2.10 | 2    |  1.03 | Drafted for $2       | Ceedeez Nutz                    
79   | Julio Jones            | BN    |  0.00 | 0    |  1.00 | Waivers; free agent  | Pop Hock & Drop It              
80   | Mike Gesicki           | BN    |  0.00 | 0    |  1.00 | Waivers; free agent  | Mangina’s Revenge               
81   | Tre' McKitty           | TE    |  0.00 | 0    |  1.00 | Waivers; free agent  | Cooper Troopers                 
82   | DJ Chark Jr.           | WR    |  0.00 | 0    |  1.00 | Waivers; free agent  | Cooper Troopers                 
83   | Tua Tagovailoa         | BN    |  0.00 | 0    |  1.00 | Waivers; $0 bid      | Forgot About Dre                
84   | Cole Kmet              | TE    |  5.00 | 5    |  1.00 | Traded; $5 salary... | Forgot About Dre                
85   | Trevor Lawrence        | BN    |  0.00 | 0    |  1.00 | Waivers; $0 bid      | JamoSZN                         
86   | Isaiah McKenzie        | BN    |  0.00 | 0    |  1.00 | Traded; $0 salary... | Ceedeez Nutz                    
87   | Jameson Williams       | BN    |  0.00 | 0    |  1.00 | Waivers; free agent  | JamoSZN                         
88   | Gus Edwards            | BN    |  0.00 | 0    |  1.00 | Waivers; $0 bid      | Nags                            
89   | Deshaun Watson         | BN    |  0.00 | 0    |  1.00 | Waivers; free agent  | Nags                            
90   | Rashod Bateman         | BN    |  0.00 | 0    |  1.00 | Waivers; free agent  | Nags                            
91   | Odell Beckham Jr.      | BN    |  0.00 | 0    |  1.00 | Waivers; free agent  | Pop Hock & Drop It              
92   | Tyler Higbee           | TE    |  6.50 | 7    |  0.94 | Drafted for $7       | Derrick Yeti SZN                
93   | Patrick Mahomes        | QB    | 33.46 | 37   |  0.91 | Drafted for $37      | Burks and Caicos                
94   | Jalen Hurts            | QB    | 26.20 | 35   |  0.76 | Drafted for $35      | Pop Hock & Drop It              
95   | Jakobi Meyers          | WR    |  7.20 | 11   |  0.68 | Traded; $11 salar... | Derrick Yeti SZN                
96   | Devin Singletary       | RB    | 16.70 | 25   |  0.68 | Drafted for $25      | Matt’s “Bye Week”               
97   | Lamar Jackson          | QB    | 16.46 | 25   |  0.67 | Drafted for $25      | G                               
98   | Josh Jacobs            | RB    | 17.50 | 28   |  0.64 | Drafted for $28      | Cooper Troopers                 
99   | DeVonta Smith          | WR    | 10.80 | 18   |  0.62 | Drafted for $18      | Aiyuken                         
100  | James Conner           | RB    | 12.40 | 21   |  0.61 | Kept for $21         | Cooper Troopers                 
101  | DeAndre Hopkins        | WR    | 13.60 | 23   |  0.61 | Drafted for $23      | JamoSZN                         
102  | Austin Ekeler          | RB    | 17.00 | 31   |  0.56 | Kept for $31         | Burks and Caicos                
103  | Kenyan Drake           | RB    |  6.30 | 12   |  0.56 | Waivers; $12 bid     | G                               
104  | Curtis Samuel          | WR    |  9.30 | 18   |  0.54 | Waivers; $18 bid     | Matt’s “Bye Week”               
