,pick,player_name,player_position,player_team,salary,manager,keeper_code
83,12,Devonta Freeman,NYG,NYG,27,Jiwei,
84,164,Kenyan Drake,RB,Ari,25,Jiwei,D
85,49,Hayden Hurst,TE,Atl,20,Jiwei,
86,33,Mike Williams,LAC,LAC,18,Jiwei,
87,77,Tee Higgins,Cin,Cin,12,Jiwei,
88,140,Ito Smith,Atl,Atl,8,Jiwei,
89,61,Justin Tucker,K,Bal,5,Jiwei,
90,94,Justin Jefferson,WR,Min,4,Jiwei,
91,96,Mike Gesicki,TE,Mia,4,Jiwei,
92,80,Baltimore,DEF,Bal,3,Jiwei,
93,23,Arizona,Ari,Ari,0,Jiwei,
94,104,Ryan Tannehill,Ten,Ten,0,Jiwei,
95,167,Wayne Gallman Jr.,NYG,NYG,0,Jiwei,
96,1,DeAndre Hopkins,WR,Ari,75,Joel,
97,19,Mike Evans,WR,TB,67,Joel,
98,152,David Montgomery,RB,Chi,47,Joel,D
99,5,Cam Akers,RB,LAR,33,Joel,
100,57,Will Fuller V,WR,Hou,22,Joel,
101,111,Nelson Agholor,LV,LV,15,Joel,
102,154,Devin Singletary,RB,Buf,13,Joel,D
103,91,Rashard Higgins,Cle,Cle,12,Joel,
104,129,Darrell Henderson Jr.,LAR,LAR,11,Joel,
105,67,Aaron Rodgers,QB,GB,10,Joel,
106,48,T.J. Hockenson,TE,Det,5,Joel,
107,155,Jamison Crowder,WR,NYJ,5,Joel,D
108,69,Harrison Butker,KC,KC,2,Joel,
109,101,Pittsburgh,DEF,Pit,1,Joel,
110,21,Marquez Valdes-Scantling,GB,GB,0,Joel,
111,120,Nyheim Hines,Ind,Ind,0,Joel,
112,13,Jonathan Taylor,RB,Ind,59,Matt,
113,158,Adam Thielen,WR,Min,42,Matt,BCD
114,159,Allen Robinson II,WR,Chi,34,Matt,D
115,38,Russell Wilson,QB,Sea,33,Matt,
116,44,Jarvis Landry,WR,Cle,32,Matt,
117,153,James Conner,RB,Pit,17,Matt,CD
118,157,Aaron Jones,RB,GB,16,Matt,BCD
119,156,Mark Andrews,TE,Bal,12,Matt,D
120,178,DeVante Parker,WR,Mia,6,Matt,D
121,20,Logan Thomas,Was,Was,0,Matt,
122,45,Jerry Jeudy,Den,Den,0,Matt,
123,78,Duke Johnson,Hou,Hou,0,Matt,
124,103,Christian Kirk,Ari,Ari,0,Matt,
125,106,Buffalo,Buf,Buf,0,Matt,
126,122,Jason Sanders,Mia,Mia,0,Matt,
127,131,Odell Beckham Jr.,Cle,Cle,0,Matt,
128,25,Amari Cooper,WR,Dal,56,Rajiv,
129,192,Derrick Henry,RB,Ten,49,Rajiv,D
130,8,Melvin Gordon III,RB,Den,47,Rajiv,
131,26,Terry McLaurin,WR,Was,44,Rajiv,
132,28,Evan Engram,TE,NYG,35,Rajiv,
133,32,Michael Gallup,WR,Dal,28,Rajiv,
134,42,Drew Brees,QB,NO,23,Rajiv,
135,24,Phillip Lindsay,RB,Den,21,Rajiv,
136,90,Darius Slayton,WR,NYG,10,Rajiv,
137,145,Justin Jackson,RB,LAC,1,Rajiv,
138,146,Jerick McKinnon,RB,SF,1,Rajiv,
139,124,Robbie Gould,SF,SF,0,Rajiv,
140,132,Carson Wentz,Phi,Phi,0,Rajiv,
141,137,New England,NE,NE,0,Rajiv,
142,143,Cole Beasley,Buf,Buf,0,Rajiv,
143,147,Trey Burton,Ind,Ind,0,Rajiv,
144,148,Dalvin Cook,RB,Min,79,Ron,D
145,17,Stefon Diggs,WR,Buf,41,Ron,
146,40,Tyler Boyd,WR,Cin,30,Ron,
147,149,Austin Ekeler,RB,LAC,15,Ron,D
148,176,DJ Chark Jr.,WR,Jax,14,Ron,D
149,151,Courtland Sutton,WR,Den,10,Ron,D
150,50,Curtis Samuel,Car,Car,9,Ron,
151,14,Michael Pittman Jr.,Ind,Ind,6,Ron,
152,105,Damien Harris,NE,NE,6,Ron,
153,123,Myles Gaskin,Mia,Mia,6,Ron,
154,63,Younghoe Koo,Atl,Atl,5,Ron,
155,150,DK Metcalf,WR,Sea,5,Ron,D
156,36,Taysom Hill,NO,NO,0,Ron,
157,74,Baker Mayfield,Cle,Cle,0,Ron,
158,85,Ben Roethlisberger,Pit,Pit,0,Ron,
159,114,Teddy Bridgewater,Car,Car,0,Ron,
160,4,Julio Jones,WR,Atl,78,Ryan,
161,189,Travis Kelce,TE,KC,64,Ryan,CD
162,188,Kenny Golladay,WR,Det,46,Ryan,D
163,39,Deshaun Watson,QB,Hou,44,Ryan,
164,191,Nick Chubb,RB,Cle,15,Ryan,CD
165,190,Kareem Hunt,RB,Cle,6,Ryan,D
166,89,Washington,Was,Was,5,Ryan,
167,118,Dalton Schultz,Dal,Dal,5,Ryan,
168,71,Brandon Aiyuk,WR,SF,4,Ryan,
169,93,Emmanuel Sanders,NO,NO,3,Ryan,
170,116,New Orleans,NO,NO,3,Ryan,
171,125,Wil Lutz,NO,NO,3,Ryan,
172,107,Jalen Reagor,WR,Phi,1,Ryan,
173,133,Tony Pollard,RB,Dal,1,Ryan,
174,53,Gus Edwards,Bal,Bal,0,Ryan,
175,92,Chase Claypool,Pit,Pit,0,Ryan,
176,160,Christian McCaffrey,RB,Car,99,Sean,D
177,7,Tyreek Hill,WR,KC,78,Sean,
178,31,Robert Woods,WR,LAR,57,Sean,
179,138,Mike Davis,Car,Car,33,Sean,
180,162,Alvin Kamara,RB,NO,25,Sean,BCD
181,161,George Kittle,TE,SF,18,Sean,CD
182,60,Diontae Johnson,WR,Pit,17,Sean,
183,163,A.J. Brown,WR,Ten,11,Sean,D
184,70,Dallas Goedert,Phi,Phi,3,Sean,
185,109,Latavius Murray,NO,NO,2,Sean,
186,117,Chase Edmonds,Ari,Ari,2,Sean,
187,127,Cleveland,Cle,Cle,1,Sean,
188,134,Jalen Hurts,Phi,Phi,1,Sean,
189,136,Dak Prescott,Dal,Dal,0,Sean,
190,141,Jason Myers,Sea,Sea,0,Sean,
191,144,Matthew Stafford,Det,Det,0,Sean,
